term_id,concept_id,resource_scope,source_term,preferred_id,variants_id,rejected_id,register,evidence,status,notes
LEBL-TERM-0001,concept.math.analysis,R006,analysis,analisis,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0002,concept.math.real-analysis,R006,real analysis,analisis real,,,formal,R006 realanal.tex and ch-vol1-intro.tex,admitted,
LEBL-TERM-0003,concept.math.proof,R006,proof,pembuktian,bukti,,formal,R006 ch-vol1-intro.tex,admitted,Use pembuktian for the process and bukti for the resulting argument where context requires.
LEBL-TERM-0004,concept.set-theory.set,R006,set,himpunan,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0005,concept.set-theory.element,R006,element,elemen,anggota,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0006,concept.set-theory.subset,R006,subset,himpunan bagian,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0007,concept.set-theory.empty-set,R006,empty set,himpunan kosong,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0008,concept.set-theory.union,R006,union,gabungan,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0009,concept.set-theory.intersection,R006,intersection,irisan,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0010,concept.set-theory.set-difference,R006,set difference,selisih himpunan,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0011,concept.set-theory.complement,R006,complement,komplemen,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0012,concept.set-theory.disjoint,R006,disjoint,saling lepas,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0013,concept.number-system.natural-numbers,R006,natural numbers,bilangan asli,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0014,concept.number-system.integers,R006,integers,bilangan bulat,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0015,concept.number-system.rational-numbers,R006,rational numbers,bilangan rasional,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0016,concept.number-system.real-numbers,R006,real numbers,bilangan real,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0017,concept.order.least-element,R006,least element,elemen terkecil,minimum,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0018,concept.order.well-ordering-property,R006,well ordering property,sifat urutan baik,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0019,concept.logic.axiom,R006,axiom,aksioma,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0020,concept.proof.induction-principle,R006,principle of induction,prinsip induksi,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0021,concept.proof.induction-basis,R006,basis statement,pernyataan dasar,kasus dasar,,formal,R006 ch-vol1-intro.tex,admitted,Source specifically calls this a statement rather than a case.
LEBL-TERM-0022,concept.proof.induction-step,R006,induction step,langkah induksi,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0023,concept.proof.induction-hypothesis,R006,induction hypothesis,hipotesis induksi,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0024,concept.proof.strong-induction,R006,strong induction,induksi kuat,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0025,concept.result.theorem,R006,theorem,teorema,,,formal,R006 realanal.tex and ch-vol1-intro.tex,admitted,
LEBL-TERM-0026,concept.result.lemma,R006,lemma,lema,,,formal,R006 realanal.tex and ch-vol1-intro.tex,admitted,
LEBL-TERM-0027,concept.result.proposition,R006,proposition,proposisi,,,formal,R006 realanal.tex and ch-vol1-intro.tex,admitted,
LEBL-TERM-0028,concept.result.corollary,R006,corollary,akibat,korolari,,formal,R006 realanal.tex and ch-vol1-intro.tex,admitted,
LEBL-TERM-0029,concept.function.function,R006,function,fungsi,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0030,concept.function.set-theoretic-function,R006,set-theoretic function,fungsi dalam teori himpunan,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0031,concept.function.mapping,R006,mapping,pemetaan,peta,,formal,R006 ch-vol1-intro.tex,admitted,Use pemetaan for the object/process and peta where the shorter noun is idiomatic.
LEBL-TERM-0032,concept.set-theory.cartesian-product,R006,Cartesian product,produk Kartesius,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0033,concept.function.graph,R006,graph,grafik,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0034,concept.function.domain,R006,domain,domain,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0035,concept.function.range,R006,range,daerah hasil,jangkauan,,formal,R006 ch-vol1-intro.tex,admitted,Distinguish from codomain.
LEBL-TERM-0036,concept.function.codomain,R006,codomain,kodomain,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0037,concept.function.image,R006,image,citra,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0038,concept.function.direct-image,R006,direct image,citra langsung,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0039,concept.function.inverse-image,R006,inverse image,prapeta,citra invers,,formal,R006 ch-vol1-intro.tex,admitted,Do not confuse the inverse image set with an inverse-function value.
LEBL-TERM-0040,concept.function.injective,R006,injective,injektif,satu-ke-satu,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0041,concept.function.injection,R006,injection,injeksi,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0042,concept.function.surjective,R006,surjective,surjektif,memetakan pada,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0043,concept.function.surjection,R006,surjection,surjeksi,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0044,concept.function.bijective,R006,bijective,bijektif,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0045,concept.function.bijection,R006,bijection,bijeksi,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0046,concept.function.inverse-function,R006,inverse function,fungsi invers,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0047,concept.function.composition,R006,composition of functions,komposisi fungsi,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0048,concept.relation.binary-relation,R006,binary relation,relasi biner,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0049,concept.relation.reflexive,R006,reflexive,refleksif,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0050,concept.relation.symmetric,R006,symmetric,simetris,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0051,concept.relation.transitive,R006,transitive,transitif,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0052,concept.relation.equivalence-relation,R006,equivalence relation,relasi ekuivalensi,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0053,concept.relation.equivalence-class,R006,equivalence class,kelas ekuivalensi,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0054,concept.set-theory.cardinality,R006,cardinality,kardinalitas,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0055,concept.set-theory.finite,R006,finite,berhingga,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0056,concept.set-theory.infinite,R006,infinite,tak berhingga,,,formal,R006 ch-vol1-intro.tex,admitted,
LEBL-TERM-0057,concept.set-theory.countably-infinite,R006,countably infinite,tak berhingga terhitung,,tak hingga tercacah,formal,R006 ch-vol1-intro.tex and Indonesian university analysis sources,admitted,Canonicalized by LEBL-ID-DEC-0016.
