"id","semantic_key","concept_id","language","locale","preferred","variants_json","rejected_forms_json","scope_ids_json","register","evidence_json","rights_id","status","ledger_term_id","source_term","ledger_status","ledger_binding_json","record_json"
"urn:uuid:ffac3ea6-1564-51f3-b6c9-ebb88ecf6310","lebl.ra.term.ledger.lebl-term-0303.id-id","urn:uuid:1853e45a-f1d4-57ce-9d6c-a03556b1a48d","id","id-ID","Cauchy secara seragam","[]","[]","[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""]","formal","[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0303"",""sha256"":""sha256:2c32edf6455058534ee00283d834788da4af047187d584e3f92ee9dd7c6ffa89""}]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","LEBL-TERM-0303","uniformly Cauchy","admitted","{""concept_id"":""concept.cauchy.uniform"",""evidence"":""R006 ch-seq-funcs.tex"",""notes"":"""",""preferred_id"":""Cauchy secara seragam"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""uniformly Cauchy"",""status"":""admitted"",""term_id"":""LEBL-TERM-0303"",""variants_id"":""""}","{""concept_id"":""urn:uuid:1853e45a-f1d4-57ce-9d6c-a03556b1a48d"",""evidence"":[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0303"",""sha256"":""sha256:2c32edf6455058534ee00283d834788da4af047187d584e3f92ee9dd7c6ffa89""}],""examples"":[],""id"":""urn:uuid:ffac3ea6-1564-51f3-b6c9-ebb88ecf6310"",""language"":""id"",""ledger_binding"":{""concept_id"":""concept.cauchy.uniform"",""evidence"":""R006 ch-seq-funcs.tex"",""notes"":"""",""preferred_id"":""Cauchy secara seragam"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""uniformly Cauchy"",""status"":""admitted"",""term_id"":""LEBL-TERM-0303"",""variants_id"":""""},""locale"":""id-ID"",""preferred"":""Cauchy secara seragam"",""record_type"":""term"",""recorded_at"":""2026-08-21T00:00:00Z"",""register"":""formal"",""rejected_forms"":[],""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""scope_ids"":[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""],""semantic_aliases"":[],""semantic_key"":""lebl.ra.term.ledger.lebl-term-0303.id-id"",""status"":""active"",""supersedes_id"":null,""variants"":[],""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:07627480-c836-5e11-8b0c-73f33f666e86","lebl.ra.term.ledger.lebl-term-0194.id-id","urn:uuid:4e770436-d19a-56a0-9fc2-acf21362930e","id","id-ID","Fubini untuk penjumlahan","[]","[]","[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""]","formal","[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0194"",""sha256"":""sha256:ed0a9deb93110e95c3c046d50f7be94d6afb04b25f05e2a6d633eddbd6301818""}]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","LEBL-TERM-0194","Fubini for sums","admitted","{""concept_id"":""concept.theorem.fubini-sums"",""evidence"":""R006 ch-seq-ser.tex"",""notes"":"""",""preferred_id"":""Fubini untuk penjumlahan"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""Fubini for sums"",""status"":""admitted"",""term_id"":""LEBL-TERM-0194"",""variants_id"":""""}","{""concept_id"":""urn:uuid:4e770436-d19a-56a0-9fc2-acf21362930e"",""evidence"":[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0194"",""sha256"":""sha256:ed0a9deb93110e95c3c046d50f7be94d6afb04b25f05e2a6d633eddbd6301818""}],""examples"":[],""id"":""urn:uuid:07627480-c836-5e11-8b0c-73f33f666e86"",""language"":""id"",""ledger_binding"":{""concept_id"":""concept.theorem.fubini-sums"",""evidence"":""R006 ch-seq-ser.tex"",""notes"":"""",""preferred_id"":""Fubini untuk penjumlahan"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""Fubini for sums"",""status"":""admitted"",""term_id"":""LEBL-TERM-0194"",""variants_id"":""""},""locale"":""id-ID"",""preferred"":""Fubini untuk penjumlahan"",""record_type"":""term"",""recorded_at"":""2026-08-21T00:00:00Z"",""register"":""formal"",""rejected_forms"":[],""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""scope_ids"":[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""],""semantic_aliases"":[],""semantic_key"":""lebl.ra.term.ledger.lebl-term-0194.id-id"",""status"":""active"",""supersedes_id"":null,""variants"":[],""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:28d71dda-9c2e-5b76-812f-77e653321a1c","lebl.ra.term.ledger.lebl-term-0436.id-id","urn:uuid:7575677c-b1e2-55d3-b300-64119bf0bdd0","id","id-ID","Jacobian","[]","[]","[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""]","formal","[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0436"",""sha256"":""sha256:c430d4efcde0bc9391ccd0ce9cc184c7a11b23a2f6c5fb1f6cc221349be49e9c""}]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","LEBL-TERM-0436","Jacobian","admitted","{""concept_id"":""concept.calculus.jacobian"",""evidence"":""R006 ch-several-vars-ders.tex"",""notes"":"""",""preferred_id"":""Jacobian"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""Jacobian"",""status"":""admitted"",""term_id"":""LEBL-TERM-0436"",""variants_id"":""""}","{""concept_id"":""urn:uuid:7575677c-b1e2-55d3-b300-64119bf0bdd0"",""evidence"":[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0436"",""sha256"":""sha256:c430d4efcde0bc9391ccd0ce9cc184c7a11b23a2f6c5fb1f6cc221349be49e9c""}],""examples"":[],""id"":""urn:uuid:28d71dda-9c2e-5b76-812f-77e653321a1c"",""language"":""id"",""ledger_binding"":{""concept_id"":""concept.calculus.jacobian"",""evidence"":""R006 ch-several-vars-ders.tex"",""notes"":"""",""preferred_id"":""Jacobian"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""Jacobian"",""status"":""admitted"",""term_id"":""LEBL-TERM-0436"",""variants_id"":""""},""locale"":""id-ID"",""preferred"":""Jacobian"",""record_type"":""term"",""recorded_at"":""2026-08-21T00:00:00Z"",""register"":""formal"",""rejected_forms"":[],""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""scope_ids"":[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""],""semantic_aliases"":[],""semantic_key"":""lebl.ra.term.ledger.lebl-term-0436.id-id"",""status"":""active"",""supersedes_id"":null,""variants"":[],""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:a167a3f5-77eb-52b3-aa2c-9c71f6372ec1","lebl.ra.term.ledger.lebl-term-0218.id-id","urn:uuid:4261092d-a130-5f27-a2ef-aa4584298e7e","id","id-ID","Lipschitz lokal","[]","[]","[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""]","formal","[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0218"",""sha256"":""sha256:c1ee8692a96ab99a56a0eb7fbd171555d0473c6555e45c410c0481d6e903ea99""}]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","LEBL-TERM-0218","locally Lipschitz","admitted","{""concept_id"":""concept.function.locally-lipschitz"",""evidence"":""R006 ch-contfunc.tex"",""notes"":"""",""preferred_id"":""Lipschitz lokal"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""locally Lipschitz"",""status"":""admitted"",""term_id"":""LEBL-TERM-0218"",""variants_id"":""""}","{""concept_id"":""urn:uuid:4261092d-a130-5f27-a2ef-aa4584298e7e"",""evidence"":[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0218"",""sha256"":""sha256:c1ee8692a96ab99a56a0eb7fbd171555d0473c6555e45c410c0481d6e903ea99""}],""examples"":[],""id"":""urn:uuid:a167a3f5-77eb-52b3-aa2c-9c71f6372ec1"",""language"":""id"",""ledger_binding"":{""concept_id"":""concept.function.locally-lipschitz"",""evidence"":""R006 ch-contfunc.tex"",""notes"":"""",""preferred_id"":""Lipschitz lokal"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""locally Lipschitz"",""status"":""admitted"",""term_id"":""LEBL-TERM-0218"",""variants_id"":""""},""locale"":""id-ID"",""preferred"":""Lipschitz lokal"",""record_type"":""term"",""recorded_at"":""2026-08-21T00:00:00Z"",""register"":""formal"",""rejected_forms"":[],""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""scope_ids"":[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""],""semantic_aliases"":[],""semantic_key"":""lebl.ra.term.ledger.lebl-term-0218.id-id"",""status"":""active"",""supersedes_id"":null,""variants"":[],""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:ec769dfb-c336-5f39-b5f7-f12da62d878f","lebl.ra.term.ledger.lebl-term-0082.id-id","urn:uuid:b4919f05-eea1-57d2-9022-6980c0a88f03","id","id-ID","Sifat Archimedes","[""sifat Archimedean""]","[]","[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""]","formal","[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0082"",""sha256"":""sha256:eac0b292c7f1edd66202d76b82d412612c363bf5250e31296b34b72d61f79bf5""}]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","LEBL-TERM-0082","Archimedean property","admitted","{""concept_id"":""concept.order.archimedean-property"",""evidence"":""R006 ch-real-nums.tex"",""notes"":"""",""preferred_id"":""Sifat Archimedes"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""Archimedean property"",""status"":""admitted"",""term_id"":""LEBL-TERM-0082"",""variants_id"":""sifat Archimedean""}","{""concept_id"":""urn:uuid:b4919f05-eea1-57d2-9022-6980c0a88f03"",""evidence"":[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0082"",""sha256"":""sha256:eac0b292c7f1edd66202d76b82d412612c363bf5250e31296b34b72d61f79bf5""}],""examples"":[],""id"":""urn:uuid:ec769dfb-c336-5f39-b5f7-f12da62d878f"",""language"":""id"",""ledger_binding"":{""concept_id"":""concept.order.archimedean-property"",""evidence"":""R006 ch-real-nums.tex"",""notes"":"""",""preferred_id"":""Sifat Archimedes"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""Archimedean property"",""status"":""admitted"",""term_id"":""LEBL-TERM-0082"",""variants_id"":""sifat Archimedean""},""locale"":""id-ID"",""preferred"":""Sifat Archimedes"",""record_type"":""term"",""recorded_at"":""2026-08-21T00:00:00Z"",""register"":""formal"",""rejected_forms"":[],""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""scope_ids"":[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""],""semantic_aliases"":[],""semantic_key"":""lebl.ra.term.ledger.lebl-term-0082.id-id"",""status"":""active"",""supersedes_id"":null,""variants"":[""sifat Archimedean""],""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:b3b2ea04-3b35-564e-9c01-ae432ebd9de9","lebl.ra.term.ledger.lebl-term-0195.id-id","urn:uuid:50be03e2-09c2-5ef8-a2da-b63b9dcf3145","id","id-ID","Tonelli untuk penjumlahan","[]","[]","[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""]","formal","[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0195"",""sha256"":""sha256:35ea17c80efb9a985b9d03e4e382d942069016b29d5de24956e47b4e9063bb13""}]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","LEBL-TERM-0195","Tonelli for sums","admitted","{""concept_id"":""concept.theorem.tonelli-sums"",""evidence"":""R006 ch-seq-ser.tex"",""notes"":"""",""preferred_id"":""Tonelli untuk penjumlahan"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""Tonelli for sums"",""status"":""admitted"",""term_id"":""LEBL-TERM-0195"",""variants_id"":""""}","{""concept_id"":""urn:uuid:50be03e2-09c2-5ef8-a2da-b63b9dcf3145"",""evidence"":[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0195"",""sha256"":""sha256:35ea17c80efb9a985b9d03e4e382d942069016b29d5de24956e47b4e9063bb13""}],""examples"":[],""id"":""urn:uuid:b3b2ea04-3b35-564e-9c01-ae432ebd9de9"",""language"":""id"",""ledger_binding"":{""concept_id"":""concept.theorem.tonelli-sums"",""evidence"":""R006 ch-seq-ser.tex"",""notes"":"""",""preferred_id"":""Tonelli untuk penjumlahan"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""Tonelli for sums"",""status"":""admitted"",""term_id"":""LEBL-TERM-0195"",""variants_id"":""""},""locale"":""id-ID"",""preferred"":""Tonelli untuk penjumlahan"",""record_type"":""term"",""recorded_at"":""2026-08-21T00:00:00Z"",""register"":""formal"",""rejected_forms"":[],""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""scope_ids"":[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""],""semantic_aliases"":[],""semantic_key"":""lebl.ra.term.ledger.lebl-term-0195.id-id"",""status"":""active"",""supersedes_id"":null,""variants"":[],""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:b55a9bd4-617c-5c8b-948d-f17617cf22c8","lebl.ra.term.ledger.lebl-term-0275.id-id","urn:uuid:5ee539a8-7a03-5f7e-9b86-e5b478f6ed48","id","id-ID","aditivitas integral","[""sifat aditif integral""]","[]","[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""]","formal","[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0275"",""sha256"":""sha256:4b2cefd38c977c7d71494d67567c49288a945f08a8b1cdc9be8ce8ebcb7b8905""}]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","LEBL-TERM-0275","additivity of the integral","admitted","{""concept_id"":""concept.integration.additivity"",""evidence"":""R006 ch-riemann.tex"",""notes"":"""",""preferred_id"":""aditivitas integral"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""additivity of the integral"",""status"":""admitted"",""term_id"":""LEBL-TERM-0275"",""variants_id"":""sifat aditif integral""}","{""concept_id"":""urn:uuid:5ee539a8-7a03-5f7e-9b86-e5b478f6ed48"",""evidence"":[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0275"",""sha256"":""sha256:4b2cefd38c977c7d71494d67567c49288a945f08a8b1cdc9be8ce8ebcb7b8905""}],""examples"":[],""id"":""urn:uuid:b55a9bd4-617c-5c8b-948d-f17617cf22c8"",""language"":""id"",""ledger_binding"":{""concept_id"":""concept.integration.additivity"",""evidence"":""R006 ch-riemann.tex"",""notes"":"""",""preferred_id"":""aditivitas integral"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""additivity of the integral"",""status"":""admitted"",""term_id"":""LEBL-TERM-0275"",""variants_id"":""sifat aditif integral""},""locale"":""id-ID"",""preferred"":""aditivitas integral"",""record_type"":""term"",""recorded_at"":""2026-08-21T00:00:00Z"",""register"":""formal"",""rejected_forms"":[],""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""scope_ids"":[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""],""semantic_aliases"":[],""semantic_key"":""lebl.ra.term.ledger.lebl-term-0275.id-id"",""status"":""active"",""supersedes_id"":null,""variants"":[""sifat aditif integral""],""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:034c7159-a6b5-5260-9a44-e6168f5e43f6","lebl.ra.term.ledger.lebl-term-0262.id-id","urn:uuid:9881cdd0-09be-5aad-89cb-67fb29ab4be1","id","id-ID","akar pangkat n","[""akar ke-n""]","[]","[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""]","formal","[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0262"",""sha256"":""sha256:e6df8d89f00b83c3c0334f97259eb69c79eedee292f959f1af2d01311756f81c""}]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","LEBL-TERM-0262","nth root","admitted","{""concept_id"":""concept.number.nth-root"",""evidence"":""R006 ch-der.tex"",""notes"":"""",""preferred_id"":""akar pangkat n"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""nth root"",""status"":""admitted"",""term_id"":""LEBL-TERM-0262"",""variants_id"":""akar ke-n""}","{""concept_id"":""urn:uuid:9881cdd0-09be-5aad-89cb-67fb29ab4be1"",""evidence"":[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0262"",""sha256"":""sha256:e6df8d89f00b83c3c0334f97259eb69c79eedee292f959f1af2d01311756f81c""}],""examples"":[],""id"":""urn:uuid:034c7159-a6b5-5260-9a44-e6168f5e43f6"",""language"":""id"",""ledger_binding"":{""concept_id"":""concept.number.nth-root"",""evidence"":""R006 ch-der.tex"",""notes"":"""",""preferred_id"":""akar pangkat n"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""nth root"",""status"":""admitted"",""term_id"":""LEBL-TERM-0262"",""variants_id"":""akar ke-n""},""locale"":""id-ID"",""preferred"":""akar pangkat n"",""record_type"":""term"",""recorded_at"":""2026-08-21T00:00:00Z"",""register"":""formal"",""rejected_forms"":[],""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""scope_ids"":[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""],""semantic_aliases"":[],""semantic_key"":""lebl.ra.term.ledger.lebl-term-0262.id-id"",""status"":""active"",""supersedes_id"":null,""variants"":[""akar ke-n""],""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:c4cd9ba2-4d72-5f96-bf0f-317d3e9a82e9","lebl.ra.term.ledger.lebl-term-0028.id-id","urn:uuid:ffd6b70e-ed63-5467-9e22-18bc5f68d1f4","id","id-ID","akibat","[""korolari""]","[]","[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""]","formal","[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0028"",""sha256"":""sha256:1c8ca49c95706ae8c6a3b1cb55918ead55f059ba57325f323afbd8fe624fcf6d""}]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","LEBL-TERM-0028","corollary","admitted","{""concept_id"":""concept.result.corollary"",""evidence"":""R006 realanal.tex and ch-vol1-intro.tex"",""notes"":"""",""preferred_id"":""akibat"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""corollary"",""status"":""admitted"",""term_id"":""LEBL-TERM-0028"",""variants_id"":""korolari""}","{""concept_id"":""urn:uuid:ffd6b70e-ed63-5467-9e22-18bc5f68d1f4"",""evidence"":[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0028"",""sha256"":""sha256:1c8ca49c95706ae8c6a3b1cb55918ead55f059ba57325f323afbd8fe624fcf6d""}],""examples"":[],""id"":""urn:uuid:c4cd9ba2-4d72-5f96-bf0f-317d3e9a82e9"",""language"":""id"",""ledger_binding"":{""concept_id"":""concept.result.corollary"",""evidence"":""R006 realanal.tex and ch-vol1-intro.tex"",""notes"":"""",""preferred_id"":""akibat"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""corollary"",""status"":""admitted"",""term_id"":""LEBL-TERM-0028"",""variants_id"":""korolari""},""locale"":""id-ID"",""preferred"":""akibat"",""record_type"":""term"",""recorded_at"":""2026-08-21T00:00:00Z"",""register"":""formal"",""rejected_forms"":[],""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""scope_ids"":[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""],""semantic_aliases"":[],""semantic_key"":""lebl.ra.term.ledger.lebl-term-0028.id-id"",""status"":""active"",""supersedes_id"":null,""variants"":[""korolari""],""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:3632bbab-7269-57e9-a6be-ccba771b2013","lebl.ra.term.ledger.lebl-term-0019.id-id","urn:uuid:b61e4ce9-f367-5923-b224-4a5bb6061f12","id","id-ID","aksioma","[]","[]","[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""]","formal","[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0019"",""sha256"":""sha256:f51380178634c35cebb5be2e8699a1416091a1f8356616f9d490203d9801cd4c""}]","urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656","active","LEBL-TERM-0019","axiom","admitted","{""concept_id"":""concept.logic.axiom"",""evidence"":""R006 ch-vol1-intro.tex"",""notes"":"""",""preferred_id"":""aksioma"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""axiom"",""status"":""admitted"",""term_id"":""LEBL-TERM-0019"",""variants_id"":""""}","{""concept_id"":""urn:uuid:b61e4ce9-f367-5923-b224-4a5bb6061f12"",""evidence"":[{""locator"":""backend/production/v0.3/inputs/TERMINOLOGY.csv:LEBL-TERM-0019"",""sha256"":""sha256:f51380178634c35cebb5be2e8699a1416091a1f8356616f9d490203d9801cd4c""}],""examples"":[],""id"":""urn:uuid:3632bbab-7269-57e9-a6be-ccba771b2013"",""language"":""id"",""ledger_binding"":{""concept_id"":""concept.logic.axiom"",""evidence"":""R006 ch-vol1-intro.tex"",""notes"":"""",""preferred_id"":""aksioma"",""register"":""formal"",""rejected_id"":"""",""resource_scope"":""R006"",""source_term"":""axiom"",""status"":""admitted"",""term_id"":""LEBL-TERM-0019"",""variants_id"":""""},""locale"":""id-ID"",""preferred"":""aksioma"",""record_type"":""term"",""recorded_at"":""2026-08-21T00:00:00Z"",""register"":""formal"",""rejected_forms"":[],""rights_id"":""urn:uuid:a0273f1c-6fad-54c7-a75a-32a5161da656"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""scope_ids"":[""urn:uuid:2985f369-c946-5392-be8c-902d3c9215b2""],""semantic_aliases"":[],""semantic_key"":""lebl.ra.term.ledger.lebl-term-0019.id-id"",""status"":""active"",""supersedes_id"":null,""variants"":[],""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
